donor_id	donor_name	source_url	country_code	project_name	is_loan	amount_m	currency	amount_m_usd	objectives	main_components	start_date	start_ut	end_date	end_ut	duration	duration_unit	duration_unit_ticks	implementing_agency	executing_agency	Project Name	Loan / Grant	Amount (USD)	Objective/s	Main Component/s	Commencement Date	Duration	Implementing Agency	Executing Agency
10	EXIM Bank of India	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=10&today=2022-03-14&Itemid=321&lang=en	IN	A Dollar Line of Credit of USD 318 Million from the from Government of India for the Development of Sri Lanka Railway Sector	True	318.0	USD	318.0			2017-06-06	1496707200			5.0	year	157788000.0	Sri Lanka Railways	Ministry of Transport & Civil Aviation	A Dollar Line of Credit of USD 318 Million from the from Government of India for the Development of Sri Lanka Railway Sector	Loan	US$ 318 Million			2017-06-06	5 years	Sri Lanka Railways	Ministry of Transport & Civil Aviation
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Hambantota Port Development Project	True	306.7	USD	306.7	The objective of the project is to expand the port related services using the locational advantages of Hambantota for the economic development of the country.	Two nos of breakwaters(312m long eastern b/w   and 988m long western b/w); 17m deep harbor basin; 210m wide entrance channel; Service berth; 100,000DWT general  purpose berth; 100,000 DWT oil berth; Roads and buildings-Admin Building, Public Service Building and Utility Buildings	2007-10-30	1193702400						Sri Lanka Ports Authority	Ministry of Ports & Shipping	Hambantota Port Development Project	Loan	USD 306.7 Mn	The objective of the project is to expand the port related services using the locational advantages of Hambantota for the economic development of the country.	Two nos of breakwaters(312m long eastern b/w   and 988m long western b/w); 17m deep harbor basin; 210m wide entrance channel; Service berth; 100,000DWT general  purpose berth; 100,000 DWT oil berth; Roads and buildings-Admin Building, Public Service Building and Utility Buildings	2007-10-30		Sri Lanka Ports Authority	Ministry of Ports & Shipping
12	China Development Bank (CDB)	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=12&today=2022-03-14&Itemid=321&lang=en	CN	Rehabililitation & improvement of Priority Road Projects - 3 (Phase 1)	True	300.0	USD	300.0	Rehabilitate about 270km of priority road sections to ensure the connectivity among already improved road section.	Contract Package No. : RDA/RNIP/PRP3/Phase 1/C2 - Ratnapura-Palawela-Karawita Road (00.00km - 21.28km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C4 - Veyangoda-Ruwanwella Road (12.40km - 32.2km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C5 - Meegahajandura-Kumaragama Road (0.00km to 8.80km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C6  - Galle-Udugama Road (00.00km - 35.35km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C10 - Hiniduma-Opatha-Pitabeddara Road (0.00 km - 31.50km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C13 - Mawanella-Hemmathagama-Gampola Road (0.00km - 26.00km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/Pkg-1/C1 Kiriella-Nedurana-Eheliyagoda Road - B 222 - (0.0 - 14.75km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/Pkg-1/C3 Ratnapura-Wewalwatta Road - B 391 - (0.0 - 27.50km); Contract Package No. :PRP3/C7 Kandy-Jaffna Road (1.65 - 3.90km); Contract Package No. :PRP3/C8 Marawila-Udubeddawa Road (0.0 - 19.55km); Contract Package No. :PRP3/C9 Katupitiya-Dambokka Road (0.0 - 8.75km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/Pkg-1/C12 Ayagama-Egaloya Road - (0.0 - 23.00km)	2014-03-11	1394496000						Road Development Authority	Ministry of Higher Education & Highways	Rehabililitation & improvement of Priority Road Projects - 3 (Phase 1)	Loan	USD 300 Mn	Rehabilitate about 270km of priority road sections to ensure the connectivity among already improved road section.	Contract Package No. : RDA/RNIP/PRP3/Phase 1/C2 - Ratnapura-Palawela-Karawita Road (00.00km - 21.28km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C4 - Veyangoda-Ruwanwella Road (12.40km - 32.2km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C5 - Meegahajandura-Kumaragama Road (0.00km to 8.80km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C6  - Galle-Udugama Road (00.00km - 35.35km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C10 - Hiniduma-Opatha-Pitabeddara Road (0.00 km - 31.50km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/C13 - Mawanella-Hemmathagama-Gampola Road (0.00km - 26.00km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/Pkg-1/C1 Kiriella-Nedurana-Eheliyagoda Road - B 222 - (0.0 - 14.75km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/Pkg-1/C3 Ratnapura-Wewalwatta Road - B 391 - (0.0 - 27.50km); Contract Package No. :PRP3/C7 Kandy-Jaffna Road (1.65 - 3.90km); Contract Package No. :PRP3/C8 Marawila-Udubeddawa Road (0.0 - 19.55km); Contract Package No. :PRP3/C9 Katupitiya-Dambokka Road (0.0 - 8.75km); Contract Package No. : RDA/RNIP/PRP3/Phase 1/Pkg-1/C12 Ayagama-Egaloya Road - (0.0 - 23.00km)	2014-03-11		Road Development Authority	Ministry of Higher Education & Highways
36	Government of Russia	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=36&today=2022-03-14&Itemid=321&lang=en	RU	Russian Line of Credit	True	300.0	USD	300.0			2010-02-10	1265760000						Ministry of Defense	Ministry of Defense	Russian Line of Credit	Loan	USD 300,000,000			2010-02-10		Ministry of Defense	Ministry of Defense
17	East Asia - Japan	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=17&today=2022-03-14&Itemid=321&lang=en	JP	New Bridge Construction Project over Kelani River (SL - P111)	True	35020.0	JPY	297.67	Construction of a new bridge across the Kelani River as a high mobility link, thereby contributing to improvement of transportation network in Colombo City and promoting economic development.	Construction of a new bridge across the Kelani River; Public Buildings relocation for Atomic Energy Authority & NAITA; Transmission line relocation.	2014-03-28	1395964800			9.0	year	284018400.0	Road Development Authority	Ministry of Higher Education & Highways	New Bridge Construction Project over Kelani River (SL - P111)	Loan	JPY 35,020 Mn	Construction of a new bridge across the Kelani River as a high mobility link, thereby contributing to improvement of transportation network in Colombo City and promoting economic development.	Construction of a new bridge across the Kelani River; Public Buildings relocation for Atomic Energy Authority & NAITA; Transmission line relocation.	2014-03-28	9 Years	Road Development Authority	Ministry of Higher Education & Highways
17	East Asia - Japan	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=17&today=2022-03-14&Itemid=321&lang=en	JP	Kalu Ganga Water Supply Expansion Project – I	True	279.0	USD	279.0			2017-08-22	1503360000			7.0	year	220903200.0	National Water Supply and Drainage Board	Ministry of City Planning and Water Supply	Kalu Ganga Water Supply Expansion Project – I	Loan	279 Million			2017-08-22	7 Years	National Water Supply and Drainage Board	Ministry of City Planning and Water Supply
17	East Asia - Japan	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=17&today=2022-03-14&Itemid=321&lang=en	JP	Greater Colombo Urban Transport Development Project Phase 2 (II) - (SL - P101)	True	31688.0	JPY	269.348	Improve the connectivity with Southern Expressway, Colombo - Katunayake Expressway and other national roads connected to Colombo City.	Construction of 8.9km (4 lanes) remaining road section from Kaduwela to Kadawatha of the Outer Circular Highway; Construction of interchanges and bridges, Box Culverts and Tolling System.	2008-07-29	1217289600						Road Development Authority	Ministry of Higher Education & Highways	Greater Colombo Urban Transport Development Project Phase 2 (II) - (SL - P101)	Loan	JPY 31,688 Mn	Improve the connectivity with Southern Expressway, Colombo - Katunayake Expressway and other national roads connected to Colombo City.	Construction of 8.9km (4 lanes) remaining road section from Kaduwela to Kadawatha of the Outer Circular Highway; Construction of interchanges and bridges, Box Culverts and Tolling System.	2008-07-29		Road Development Authority	Ministry of Higher Education & Highways
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Kandy North-Pathadumbara Integrated Water Supply Project	True	254.5	USD	254.5		Construction of clear Water Reservoir - 2100 m3 within existing water treatment plant; Construction of filtration Unit -; Construction of flocculation unit; Construction of new pump station; Improvement to existing pumps station; Construction of Slude lagoon; Construction of Service Reservoirs; Construction of pump houses; Supply and laying of distribution lines; Supply and laying transmission lines	2017-12-22	1513900800			5.0	year	157788000.0	National Water Supply & Drainage Board	Ministry of City Planning & Water Supply	Kandy North-Pathadumbara Integrated Water Supply Project	Loan	254.5 million		Construction of clear Water Reservoir - 2100 m3 within existing water treatment plant; Construction of filtration Unit -; Construction of flocculation unit; Construction of new pump station; Improvement to existing pumps station; Construction of Slude lagoon; Construction of Service Reservoirs; Construction of pump houses; Supply and laying of distribution lines; Supply and laying transmission lines	2017-12-22	5 Years	National Water Supply & Drainage Board	Ministry of City Planning & Water Supply
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Hambantota Hub Development Project	True	252.5	USD	252.5	To enhance the efficiency of transport system by linking country's major economic centers with Colombo City and other parts of the Country.	Construct 15 km length road section from Wetiya to Mattala of the Extension of Southern Expressway Project.	2016-01-25	1453680000						Road Development Authority	Ministry of Higher Education & Highways	Hambantota Hub Development Project	Loan	USD 252.5 Mn	To enhance the efficiency of transport system by linking country's major economic centers with Colombo City and other parts of the Country.	Construct 15 km length road section from Wetiya to Mattala of the Extension of Southern Expressway Project.	2016-01-25		Road Development Authority	Ministry of Higher Education & Highways
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Colombo Katunayake Expressway (A1 , A2 , A3 & A4)	False	248.2	USD	248.2	The objective of the project is the construction of the Colombo - Katunayaka Expressway which links the Bandarana International Airport & Capital City of Colombo.	Construction of 25.8Km length of Expressway from Colombo to Katunayake.	2009-08-06	1249516800						Road Development Authority	Ministry of Higher Education & Highways	Colombo Katunayake Expressway (A1 , A2 , A3 & A4)	Loan - (04 Loans)	USD 248.2 Mn	The objective of the project is the construction of the Colombo - Katunayaka Expressway which links the Bandarana International Airport & Capital City of Colombo.	Construction of 25.8Km length of Expressway from Colombo to Katunayake.	2009-08-06		Road Development Authority	Ministry of Higher Education & Highways
12	China Development Bank (CDB)	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=12&today=2022-03-14&Itemid=321&lang=en	CN	Balance of 400 million facility for priority Water Supply Projects	True	242.6	USD	242.6		Valachchenai Water Supply Project; Bandarawela, Diyathalawa, Haputhale Water Supply Project	2017-08-30	1504051200						National Water Supply & Drainage Board	Ministry of City Planning & Water Supply	Balance of 400 million facility for priority Water Supply Projects	Loan	242.6		Valachchenai Water Supply Project; Bandarawela, Diyathalawa, Haputhale Water Supply Project	2017-08-30		National Water Supply & Drainage Board	Ministry of City Planning & Water Supply
12	China Development Bank (CDB)	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=12&today=2022-03-14&Itemid=321&lang=en	CN	Moragahakanda Development Project	True	214.2	USD	214.2	Provide irrigation facilities for 82,000 ha while increasing the cropping intensity up to 1.81. Also issue 90 MCM of water for domestic/industrial purposes and construction of 25 MW hydro power plants.	Construction of 61m height and 465m length main dam, saddle dam 01 with 50.5m height and 365 m length and saddle dam 02 with 21.5m height and 275 m length to retain 570 MCM of water.	2012-06-28	1340841600						Mahaweli Authority Of Sri Lanka	Ministry of Mahaweli Development & Environment	Moragahakanda Development Project	Loan	USD 214.2 Mn	Provide irrigation facilities for 82,000 ha while increasing the cropping intensity up to 1.81. Also issue 90 MCM of water for domestic/industrial purposes and construction of 25 MW hydro power plants.	Construction of 61m height and 465m length main dam, saddle dam 01 with 50.5m height and 365 m length and saddle dam 02 with 21.5m height and 275 m length to retain 570 MCM of water.	2012-06-28		Mahaweli Authority Of Sri Lanka	Ministry of Mahaweli Development & Environment
17	East Asia - Japan	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=17&today=2022-03-14&Itemid=321&lang=en	JP	Anuradhapura North Water Supply Project (Phase 2)	True	212.0	USD	212.0			2017-06-14	1497398400						Water Supply and Drainage Board	Ministry of City Planning and Water Supply	Anuradhapura North Water Supply Project (Phase 2)	Loan	212 Million			2017-06-14		Water Supply and Drainage Board	Ministry of City Planning and Water Supply
